keys,ru
ACH_BRAWLER_DESC,Нападите на 50 прохожих за все время
ACH_BRAWLER_NAME,Дерущийся таксист
ACH_BRAWLER_TOAST,Гроза пешеходов проспекта Кирова
ACH_CLEAN_SHIFT_DESC,Смена без аварий и сбитых пешеходов
ACH_CLEAN_SHIFT_NAME,Идеальная смена
ACH_CLEAN_SHIFT_TOAST,Ни единой царапинки за всю смену
ACH_DRIFT_200_DESC,Совершите 200 заносов за все время
ACH_DRIFT_200_NAME,Дрифт-легенда
ACH_DRIFT_200_TOAST,"Резина плавится, рейтинг растёт"
ACH_DRIFT_50_DESC,Совершите 50 заносов за все время
ACH_DRIFT_50_NAME,Король заносов
ACH_DRIFT_50_TOAST,Пятигорский серпантин — твоя трасса
ACH_EARN_100K_DESC,Заработайте 100 000 ₽ за все время
ACH_EARN_100K_NAME,Магнат такси
ACH_EARN_100K_TOAST,Настоящий магнат такси на КМВ
ACH_EARN_10K_DESC,Заработайте 10 000 ₽ за все время
ACH_EARN_10K_NAME,Первая тыща
ACH_EARN_10K_TOAST,Десятка в кармане — на шашлык хватит
ACH_EARN_50K_DESC,Заработайте 50 000 ₽ за все время
ACH_EARN_50K_NAME,Состоятельный водитель
ACH_EARN_50K_TOAST,Кошелёк трещит от курортных купюр
ACH_ESCAPE_10_DESC,Скройтесь от полиции 10 раз
ACH_ESCAPE_10_NAME,Король побега
ACH_ESCAPE_10_TOAST,Десять раз — и ни одной решётки
ACH_ESCAPE_1_DESC,Скройтесь от полиции 1 раз
ACH_ESCAPE_1_NAME,Лихой прохвост
ACH_ESCAPE_1_TOAST,От полиции ушёл — значит не пойман
ACH_ESCAPE_3_DESC,Скройтесь от полиции на 3+ уровне розыска
ACH_ESCAPE_3_NAME,Неуловимый
ACH_ESCAPE_3_TOAST,Ушёл от хвоста на трёх звёздах!
ACH_ESCAPE_5_DESC,Скройтесь от полиции на максимальном 5-м уровне розыска
ACH_ESCAPE_5_NAME,Легенда побега
ACH_ESCAPE_5_TOAST,Пять звёзд позади — абсолютный уход!
ACH_FIRST_ORDER_DESC,Выполните первый заказ
ACH_FIRST_ORDER_NAME,Первый заработок
ACH_FIRST_ORDER_TOAST,Первая копейка — и та в кассу
ACH_HOT_HEAD_DESC,Нападите на 10 прохожих за смену
ACH_HOT_HEAD_NAME,Горячая голова
ACH_HOT_HEAD_TOAST,Кулаки — вторая профессия таксиста
ACH_KM_500_DESC,Проедьте 500 км за все время
ACH_KM_500_NAME,Путешественник
ACH_KM_500_TOAST,Пятьсот километров по серпантинам
ACH_MAX_RATING_DESC,Достигните максимального рейтинга
ACH_MAX_RATING_NAME,Звезда Пятигорска
ACH_MAX_RATING_TOAST,Пятигорск ваш! Что дальше — Машук
ACH_MAX_SPEED_DESC,Разгонитесь до 150 км/ч
ACH_MAX_SPEED_NAME,Шумахер
ACH_MAX_SPEED_TOAST,Шумахер нервно курит на обочине
ACH_MISSIONS_5_DESC,Выполните 5 уникальных миссий
ACH_MISSIONS_5_NAME,Герой города
ACH_MISSIONS_5_TOAST,Пять особых поручений выполнены
ACH_NEAR_MISS_200_DESC,Совершите 200 опасных сближений
ACH_NEAR_MISS_200_NAME,Призрак дорог
ACH_NEAR_MISS_200_TOAST,Ты невидимка на пятигорских трассах
ACH_NEAR_MISS_50_DESC,Совершите 50 опасных сближений
ACH_NEAR_MISS_50_NAME,Скользкий тип
